site,nSamples,Temp,Oxygen,pH,FC,TPN,TP_P,Nutrient,Turb,SUSSOL,Sediment,AnnualWQI,WY_Range
BLASA1020,11,NA,NA,NA,NA,100,82.32737469578737,97.42656297549907,NA,NA,NA,98.28437531699937,2024-2024
Black River @ 128th Ave. SW (45b),12,71.59601095,36.36082736425,65.06424540800009,74.53755264977788,100,86.20638391867394,95.65024753795177,86.71845368240312,NA,86.71845368240312,58.93189689983361,2021-2025
DESDE0025,10,NA,NA,NA,NA,100,73.248814433545,92.9784316380853,NA,NA,NA,94.60896397445599,2024-2024
DESSP0510,11,NA,NA,NA,NA,100,84.32704781939717,89.6008825749321,NA,NA,NA,94.22210614582126,2024-2024
Deschutes River @ Waldrick Rd. (11a),12,67.69901957096,92.33772736300006,86.58762141677778,80.51556794077197,100,61.42088326299786,79.64636045512512,85.28996813889373,NA,85.28996813889373,82.19807639879906,2021-2025
EH-BLABE0700,12,79.54410766085257,89.44468372799999,74.27013388200004,69.39346526927014,100,79.73064137475505,85.5691073698772,89.58880470719954,NA,89.58880470719954,81.37848262656684,2021-2025
EH-BLABL0010,12,65.68063299600584,75.57024829106251,76.73032771911119,85.48848737245144,100,79.819041506954,82.11714918980238,96.40993475059273,NA,96.40993475059273,82.96352460259506,2021-2025
EH-BLABM0910,12,85.44576750743913,82.51203556133333,67.32693843200008,59.82944709410213,100,71.26817767318846,100,88.73949916065598,NA,88.73949916065598,70.79393025454816,2021-2025
EH-BUDBD0000,12,57.00575166327471,68.42072360633334,84.12121908977792,75.26128638674298,100,84.95907648439145,93.92953284361728,97.23885009955772,NA,97.23885009955772,67.81184925644213,2021-2025
EH-BUDIN0010,12,89.51212949101,90.60289320000003,90.56018124799999,60.365508007305685,100,62.45891378991406,68.94075298940123,83.26315408369665,NA,83.26315408369665,69.53782389169763,2021-2025
EH-BUDMO0000,9,89.27213885696,73.01738003200005,95.19078316800017,60.19109943160872,100,39.061683249525245,100,70.92363622258651,NA,70.92363622258651,64.1118819075668,2021-2024
EH-BUDMO0030,12,95.88325667481,84.919561268,95.02510680000017,68.8291327342341,100,67.59407660279042,100,68.3445548658253,NA,68.3445548658253,74.28809675196297,2022-2025
